epoch,val_error1,val_error5,val_loss,train_error1,train_error5,train_loss
72,0.37783999999999995,0.16034000000000004,1.5996822377248687,0.4154922816463428,0.19859706033639646,1.7142254114151
73,0.37416000000000005,0.15705999999999998,1.581821546870835,0.4143113270947504,0.19738176209658853,1.8361942768096924
74,0.37604000000000004,0.15476,1.5744277983903885,0.4133286292887657,0.19696573514615967,1.8724337816238403
75,0.3779,0.16003999999999996,1.5931587264854081,0.41225382795529386,0.19639750321386673,1.7815197706222534
76,0.37578,0.15756000000000003,1.5882369514022554,0.41122507838556566,0.1955802795420113,2.011786937713623
77,0.37378,0.15739999999999998,1.5815893931656468,0.4101783764333612,0.1948387680919037,1.8555281162261963
78,0.37268,0.15498,1.569545454820808,0.4100308546817082,0.1942955133874038,1.8298944234848022
79,0.37424,0.15581999999999996,1.569194563797542,0.4087593576793658,0.1936102006998307,1.789801836013794
80,0.37068,0.15439999999999998,1.5590625174191532,0.4075760615126678,0.19234650908117368,1.7960764169692993
81,0.37051999999999996,0.15347999999999995,1.5631281009742193,0.4070858834172282,0.1924792006038245,1.8747971057891846
82,0.36963999999999997,0.15498,1.5535659987707526,0.40543270315267255,0.1912100452165877,2.0297963619232178
83,0.36970000000000003,0.15334000000000003,1.557694403188569,0.4052563014813838,0.19138098311929674,1.7983936071395874
84,0.36863999999999997,0.15234000000000003,1.5535768647583164,0.4050635085043558,0.1905184882220663,1.6434117555618286
