epoch,val_error1,val_error5,val_loss,train_error1,train_error5,train_loss
40,0.41813999999999996,0.19106,1.8060672775823243,0.46346963354504134,0.23780974689482326,2.009449005126953
41,0.41664,0.18906,1.794268895472799,0.46213725454995325,0.23639853352451323,2.189636468887329
42,0.41288,0.18530000000000002,1.7839417597469018,0.4606417430358415,0.2355820903910263,2.2536509037017822
43,0.41828,0.18864000000000003,1.8089231803100936,0.45874971803051434,0.23374392253312803,1.9780128002166748
44,0.41246000000000005,0.18230000000000002,1.7747274989984474,0.457332260353256,0.2332623303597423,2.073744058609009
45,0.41006,0.18269999999999997,1.7669119664600916,0.45605217742885973,0.23222655594469732,2.008946418762207
46,0.4083,0.18091999999999997,1.764830846567543,0.45486575910868765,0.23077553511759197,2.2352182865142822
47,0.41128,0.18303999999999998,1.7704663228015511,0.4533561979039422,0.23014876280765895,2.165083408355713
48,0.40637999999999996,0.18003999999999998,1.7590538789423145,0.4516031087282142,0.22930890352311606,2.09922194480896
49,0.40768000000000004,0.18300000000000005,1.762666025940253,0.4504252763300959,0.22760654934134272,2.0749247074127197
50,0.40574,0.17964000000000002,1.7457047919837796,0.44930832592472336,0.22671673560121353,2.399292469024658
